commitSHA,JavaFile,oldFunctionSignature,newFunctionSignature
"8cad9ec226e4df2cfa377841183625cd33a084c1",MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/MyValueFormatter.java,"public String getFormattedValue(float value)","public String getFormattedValue(float value, Entry entry, int dataSetIndex, ViewPortHandler viewPortHandler)"
"5a15715b25991e3d61d27d552f9eba45975d65e7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/StackedBarActivityNegative.java,"public String getFormattedValue(float value)","public String getFormattedValue(float value, Entry entry, int dataSetIndex, ViewPortHandler viewPortHandler)"
"5a15715b25991e3d61d27d552f9eba45975d65e7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/MyValueFormatter.java,"public String getFormattedValue(float value)","public String getFormattedValue(float value, Entry entry, int dataSetIndex, ViewPortHandler viewPortHandler)"
"8d529bd999359af7eada8ab6a5b0dccd3ecc362f",MPChartLib/src/com/github/mikephil/charting/highlight/BarHighlighter.java,"protected Highlight getStackedHighlight(BarDataSet set, int xIndex, int dataSetIndex, double yValue)","protected Highlight getStackedHighlight(Highlight old, BarDataSet set, int xIndex, int dataSetIndex, double yValue)"
"e07bbeaff1f9a797cd781da1dc13fff80d528068",MPChartLib/src/com/github/mikephil/charting/components/Legend.java,"public void calculateDimensions(Paint labelpaint)","public void calculateDimensions(Paint labelpaint, ViewPortHandler viewPortHandler)"
"9fdd30bbe05e62a2f71d9b71d9ebf3cd19ac39fc",MPChartLib/src/com/github/mikephil/charting/data/BubbleDataSet.java,"protected void calcMinMax()","protected void calcMinMax(int start, int end)"
"9fdd30bbe05e62a2f71d9b71d9ebf3cd19ac39fc",MPChartLib/src/com/github/mikephil/charting/data/CandleDataSet.java,"protected void calcMinMax()","protected void calcMinMax(int start, int end)"
"9fdd30bbe05e62a2f71d9b71d9ebf3cd19ac39fc",MPChartLib/src/com/github/mikephil/charting/data/DataSet.java,"protected void calcMinMax()","protected void calcMinMax(int start, int end)"
"bc8b7105d8f5f7260395bcd4023ab5ec77001710",MPChartLib/src/com/github/mikephil/charting/components/Legend.java,"public void calculateDimensions(Paint labelpaint)","public void calculateDimensions(Paint labelpaint, ViewPortHandler viewPortHandler)"
"8040ebe52e60ae9bb2a4200d9063688ce52f9f72",MPChartLib/src/com/github/mikephil/charting/data/BubbleDataSet.java,"protected void calcMinMax()","protected void calcMinMax(int start, int end)"
"8040ebe52e60ae9bb2a4200d9063688ce52f9f72",MPChartLib/src/com/github/mikephil/charting/data/CandleDataSet.java,"protected void calcMinMax()","protected void calcMinMax(int start, int end)"
"8040ebe52e60ae9bb2a4200d9063688ce52f9f72",MPChartLib/src/com/github/mikephil/charting/data/DataSet.java,"protected void calcMinMax()","protected void calcMinMax(int start, int end)"
"83cb3eec70b52920476ea48e027dbac16f08269a",MPChartLib/src/com/github/mikephil/charting/data/BubbleDataSet.java,"public void setColor(int color)","public void setColor(int color, int alpha)"
"9531ba69895cd64fce48038ffd8df2543eeea1d2",MPChartLib/src/com/github/mikephil/charting/charts/Chart.java,"public void animateXY(int durationMillisX, int durationMillisY)","public void animateXY(int durationMillisX, int durationMillisY, EasingFunction easingX, EasingFunction easingY)"
"75cc593864d3aaa3a08e80631c6a05ffa14b8738",MPChartLib/src/com/github/mikephil/charting/charts/PieRadarChartBase.java,"public void spin(int durationmillis, float fromangle, float toangle)","public void spin(int durationmillis, float fromangle, float toangle, EasingFunction easing)"
"fa97f6143ae234da09a7698bf3895997a8dbaac7",MPChartLib/src/com/github/mikephil/charting/renderer/LineChartRenderer.java,"private int getBufferSize(LineDataSet set)","private int getBufferSize(LineDataSet set, int xValCount)"
"6b57fa74d4f2c80d918e47a224155c45d8c1ef93",MPChartLib/src/com/github/mikephil/charting/renderer/LineChartRenderer.java,"protected void drawCubicFill(LineDataSet dataSet, Path spline)","protected void drawCubicFill(Canvas c, LineDataSet dataSet, Path spline, Transformer trans)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/BarChartActivity.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/BarChartActivityMultiDataset.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
