commitSHA,JavaFile,oldFunctionSignature,newFunctionSignature
"a0674ca4f17d735d3d17551064eade2dabc10604",lseditkconfig/src/parser/KConfigParser.java,"private void loadMenu(EntityInstance menuInstance)","private void loadMenu(EntityInstance menuInstance, Vector<EntityInstance> addedDependencies)"
"a0674ca4f17d735d3d17551064eade2dabc10604",lseditkconfig/src/parser/KConfigParser.java,"private void addPrompt(EntityInstance entityInstace, String line)","private void addPrompt(EntityInstance originalContainer, EntityInstance entityInstace, String line)"
"a0674ca4f17d735d3d17551064eade2dabc10604",lseditkconfig/src/parser/KConfigParser.java,"private void addDefaultValue(EntityInstance entityInstance, String line)","private void addDefaultValue(EntityInstance originalContainer, EntityInstance entityInstance, String line)"
"d7ad827713b0f3617b1ad8864b72381c6b162acf",lseditkconfig/src/parser/KConfigParser.java,"private EntityInstance getEntityInstance(String name, String type)","private EntityInstance getEntityInstance(String name, String type, EntityInstance parent)"
"d7ad827713b0f3617b1ad8864b72381c6b162acf",lseditkconfig/src/parser/KConfigParser.java,"private void addDoubleDependency(String dependency, String split, EntityInstance parentInstance)","private void addDoubleDependency(EntityInstance originalContainer, String dependency, String split, EntityInstance parentInstance)"
"d7ad827713b0f3617b1ad8864b72381c6b162acf",lseditkconfig/src/parser/KConfigParser.java,"private void addRelation(EntityInstance entityInstance, String line)","private void addRelation(EntityInstance originalContainer, EntityInstance entityInstance, String line)"
"d7ad827713b0f3617b1ad8864b72381c6b162acf",lseditkconfig/src/parser/KConfigParser.java,"private boolean loadGeneralAttributes(EntityInstance entityInstance)","private boolean loadGeneralAttributes(EntityInstance originalContainer, EntityInstance entityInstance)"
